,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
29,2021,SE,FT,Big Data Architect,125000,CAD,,CA,50,CA,M
30,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
31,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
32,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
33,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
34,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
35,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
36,2022,EX,FT,Lead Data Engineer,150000,CAD,,CA,100,CA,S
37,2022,MI,FT,Machine Learning Developer,100000,CAD,,CA,100,CA,M
38,2022,EX,FT,Director of Data Science,250000,CAD,,CA,50,CA,L
39,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
40,2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
41,2022,SE,FT,Machine Learning Developer,100000,CAD,,CA,100,CA,M
42,2022,EN,FT,Data Scientist,66500,CAD,,CA,100,CA,L
43,2022,MI,FT,Business Data Analyst,90000,CAD,,CA,50,CA,L
44,2022,MI,FT,Data Scientist,88000,CAD,,CA,100,CA,M
45,2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M
46,2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
47,2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
48,2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M
49,2022,MI,FT,Data Scientist,115000,CHF,,CH,0,CH,L
50,2021,MI,FT,Data Scientist,30400000,CLP,,CL,100,CL,L
51,2020,MI,FT,Machine Learning Engineer,299000,CNY,,CN,0,CN,M
52,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
53,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
54,2020,MI,FT,Data Scientist,70000,EUR,,DE,0,DE,L
55,2020,MI,FT,Data Engineering Manager,51999,EUR,,DE,100,DE,S
56,2020,EN,PT,ML Engineer,14000,EUR,,DE,100,DE,S
57,2020,SE,FT,Principal Data Scientist,130000,EUR,,DE,100,DE,M
58,2020,EN,FT,Data Scientist,55000,EUR,,DE,50,DE,S
59,2020,EN,FT,Data Scientist,43200,EUR,,DE,0,DE,S
60,2021,SE,FT,Data Analytics Engineer,67000,EUR,,DE,100,DE,L
61,2021,EN,FT,Data Science Consultant,65000,EUR,,DE,100,DE,S
62,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,,DE,100,US,S
63,2021,SE,FT,Machine Learning Engineer,80000,EUR,,DE,50,DE,L
64,2021,EN,FT,Data Science Consultant,54000,EUR,,DE,50,DE,L
65,2021,EX,FT,Director of Data Science,110000,EUR,,DE,50,DE,M
66,2021,MI,FT,Data Scientist,76760,EUR,,DE,50,DE,L
67,2021,MI,FT,Data Scientist,52000,EUR,,DE,50,AT,M
68,2021,EN,FT,Machine Learning Engineer,21000,EUR,,DE,50,DE,M
69,2021,MI,FT,Data Scientist,76760,EUR,,DE,50,DE,L
70,2021,MI,FT,Data Scientist,75000,EUR,,DE,50,DE,L
71,2021,SE,FT,Principal Data Scientist,147000,EUR,,DE,100,DE,M
72,2021,EX,FT,Director of Data Science,120000,EUR,,DE,0,DE,L
73,2021,SE,FT,Data Analyst,54000,EUR,,DE,50,DE,L
74,2021,EN,FT,Data Engineer,55000,EUR,,DE,50,DE,M
75,2021,EN,FT,Data Science Consultant,65000,EUR,,DE,0,DE,L
76,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,,DE,0,DE,M
77,2022,MI,PT,Data Engineer,50000,EUR,,DE,50,DE,L
78,2022,SE,FT,Principal Data Scientist,148000,EUR,,DE,100,DE,M
79,2020,EN,FT,AI Scientist,300000,DKK,,DK,50,DK,S
80,2021,EN,PT,Computer Vision Engineer,180000,DKK,,DK,50,DK,S
81,2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
82,2022,MI,FT,Head of Data,30000,EUR,,EE,100,EE,S
83,2020,EX,FT,Data Engineering Manager,70000,EUR,,ES,50,ES,L
84,2020,MI,FT,Data Scientist,34000,EUR,,ES,100,ES,M
85,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
86,2021,MI,FT,Machine Learning Engineer,40000,EUR,,ES,100,ES,S
87,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
88,2021,EN,PT,Data Analyst,8760,EUR,,ES,50,ES,M
89,2021,MI,FT,Data Scientist,32000,EUR,,ES,100,ES,L
90,2021,MI,FT,Data Scientist,39600,EUR,,ES,100,ES,M
91,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
92,2022,MI,FT,Data Engineer,45000,EUR,,ES,100,ES,M
93,2022,MI,FT,Data Analyst,40000,EUR,,ES,100,ES,M
94,2022,MI,FT,Data Analyst,30000,EUR,,ES,100,ES,M
95,2022,MI,FT,Data Engineer,80000,EUR,,ES,100,ES,M
96,2022,MI,FT,Data Engineer,70000,EUR,,ES,100,ES,M
97,2022,MI,FT,Data Engineer,60000,EUR,,ES,100,ES,M
98,2020,EN,FT,Data Scientist,45000,EUR,,FR,0,FR,S
99,2020,EN,FT,Data Scientist,35000,EUR,,FR,0,FR,M
100,2020,MI,FT,Data Analyst,41000,EUR,,FR,50,FR,L
101,2020,MI,FT,Data Engineer,61500,EUR,,FR,50,FR,L
102,2020,MI,FT,Data Scientist,55000,EUR,,FR,50,LU,S
103,2020,MI,FT,Data Scientist,37000,EUR,,FR,50,FR,S
104,2021,SE,FT,Data Scientist,45000,EUR,,FR,50,FR,L
105,2021,EN,FT,Data Analyst,50000,EUR,,FR,50,FR,M
106,2021,EN,FT,Data Scientist,42000,EUR,,FR,50,FR,M
107,2021,MI,FT,Research Scientist,53000,EUR,,FR,50,FR,M
108,2021,EX,FT,Data Science Consultant,59000,EUR,,FR,100,ES,S
109,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
110,2021,MI,FT,Research Scientist,48000,EUR,,FR,50,FR,S
111,2021,EN,FT,Data Scientist,31000,EUR,,FR,50,FR,L
112,2021,SE,FT,Data Scientist,65720,EUR,,FR,50,FR,M
113,2022,MI,FT,Machine Learning Engineer,80000,EUR,,FR,100,DE,M
114,2022,SE,FT,Research Scientist,85000,EUR,,FR,50,FR,L
115,2022,MI,FT,Data Engineer,62000,EUR,,FR,100,FR,M
116,2020,SE,FT,Big Data Engineer,85000,GBP,,GB,50,GB,M
117,2020,MI,FT,Data Engineer,88000,GBP,,GB,50,GB,L
118,2020,MI,FT,Data Scientist,60000,GBP,,GB,100,GB,S
119,2021,EN,FT,Research Scientist,60000,GBP,,GB,50,GB,L
120,2021,MI,FT,Applied Data Scientist,68000,CAD,,GB,50,CA,L
121,2021,MI,FT,Data Analyst,37456,GBP,,GB,50,GB,L
122,2021,SE,FT,Director of Data Engineering,82500,GBP,,GB,100,GB,M
123,2021,SE,FT,Lead Data Engineer,75000,GBP,,GB,100,GB,S
124,2021,EN,FT,Applied Data Scientist,80000,GBP,,GB,0,GB,L
125,2021,MI,FT,Data Engineer,60000,GBP,,GB,100,GB,L
126,2021,SE,FT,Finance Data Analyst,45000,GBP,,GB,50,GB,L
127,2021,MI,FT,Data Scientist,85000,GBP,,GB,50,GB,L
128,2021,MI,FT,Data Scientist,40900,GBP,,GB,50,GB,L
129,2021,MI,FT,Data Engineer,52500,GBP,,GB,50,GB,L
130,2021,SE,FT,Data Engineer,70000,GBP,,GB,50,GB,L
131,2022,SE,FT,Data Scientist,90000,GBP,,GB,0,GB,M
132,2022,SE,FT,Data Scientist,80000,GBP,,GB,0,GB,M
133,2022,EN,FT,Data Engineer,40000,GBP,,GB,100,GB,M
134,2022,MI,FT,Data Scientist,50000,GBP,,GB,0,GB,M
135,2022,MI,FT,Data Scientist,30000,GBP,,GB,0,GB,M
136,2022,MI,FT,Data Engineer,60000,GBP,,GB,0,GB,M
137,2022,MI,FT,Data Engineer,40000,GBP,,GB,0,GB,M
138,2022,EN,FT,Data Engineer,35000,GBP,,GB,100,GB,M
139,2022,SE,FT,Data Engineer,60000,GBP,,GB,0,GB,M
140,2022,SE,FT,Data Engineer,50000,GBP,,GB,0,GB,M
141,2022,EN,FT,Machine Learning Engineer,28500,GBP,,GB,100,GB,L
142,2022,MI,FT,Machine Learning Engineer,95000,GBP,,GB,0,GB,M
143,2022,MI,FT,Machine Learning Engineer,75000,GBP,,GB,0,GB,M
144,2022,MI,FT,Data Engineer,90000,GBP,,GB,0,GB,M
145,2022,MI,FT,Data Engineer,75000,GBP,,GB,0,GB,M
146,2022,MI,FT,Data Analyst,40000,GBP,,GB,100,GB,M
147,2022,MI,FT,Data Scientist,55000,GBP,,GB,0,GB,M
148,2022,MI,FT,Data Scientist,35000,GBP,,GB,0,GB,M
149,2022,MI,FT,Data Engineer,60000,GBP,,GB,100,GB,M
150,2022,MI,FT,Data Engineer,45000,GBP,,GB,100,GB,M
151,2022,MI,FT,Data Analyst,30000,GBP,,GB,100,GB,M
152,2022,MI,FT,Data Engineer,80000,GBP,,GB,100,GB,M
153,2022,MI,FT,Data Engineer,70000,GBP,,GB,100,GB,M
154,2022,MI,FT,Data Engineer,75000,GBP,,GB,100,GB,M
155,2022,MI,FT,Data Engineer,60000,GBP,,GB,100,GB,M
156,2022,MI,FT,Data Scientist,140000,GBP,,GB,0,GB,M
157,2022,MI,FT,Data Scientist,70000,GBP,,GB,0,GB,M
158,2022,MI,FT,Data Analyst,50000,GBP,,GB,0,GB,M
159,2022,MI,FT,Data Analyst,35000,GBP,,GB,0,GB,M
160,2020,SE,FT,Data Engineer,42000,EUR,,GR,50,GR,L
161,2020,SE,FT,Data Scientist,60000,EUR,,GR,100,US,L
162,2021,SE,FT,Marketing Data Analyst,75000,EUR,,GR,100,DK,L
163,2021,MI,FT,Data Science Engineer,34000,EUR,,GR,100,GR,M
164,2022,MI,FT,ETL Developer,50000,EUR,,GR,0,GR,M
165,2022,MI,FT,ETL Developer,50000,EUR,,GR,0,GR,M
166,2022,MI,FT,Data Engineer,60000,EUR,,GR,100,GR,M
167,2022,MI,FT,Data Engineer,45000,EUR,,GR,100,GR,M
168,2022,MI,FT,Data Engineer,80000,EUR,,GR,100,GR,M
169,2022,MI,FT,Data Analyst,40000,EUR,,GR,100,GR,M
170,2022,MI,FT,Data Analyst,30000,EUR,,GR,100,GR,M
171,2022,MI,FT,Data Engineer,70000,EUR,,GR,100,GR,M
172,2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S
173,2021,MI,FT,Data Engineer,48000,GBP,,HK,50,GB,S
174,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
175,2020,SE,FT,Machine Learning Engineer,40000,EUR,,HR,100,HR,S
176,2020,MI,FT,Data Scientist,11000000,HUF,,HU,50,HU,L
177,2021,MI,FT,BI Data Analyst,11000000,HUF,,HU,50,US,L
178,2022,SE,FT,Machine Learning Engineer,65000,EUR,,IE,100,IE,S
179,2020,MI,FT,Data Scientist,3000000,INR,,IN,0,IN,L
180,2020,EN,FT,Data Science Consultant,423000,INR,,IN,50,IN,M
181,2020,MI,FT,Product Data Analyst,450000,INR,,IN,100,IN,L
182,2020,EN,FT,Data Analyst,450000,INR,,IN,0,IN,S
183,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
184,2021,MI,PT,3D Computer Vision Researcher,400000,INR,,IN,50,IN,M
185,2021,MI,FT,Lead Data Analyst,1450000,INR,,IN,100,IN,L
186,2021,EN,FT,Data Scientist,2200000,INR,,IN,50,IN,L
187,2021,EN,FT,Data Engineer,2250000,INR,,IN,100,IN,L
188,2021,MI,FT,Data Scientist,700000,INR,,IN,0,IN,S
189,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
190,2021,SE,FT,Lead Data Scientist,3000000,INR,,IN,50,IN,L
191,2021,MI,FT,Data Scientist,420000,INR,,IN,100,US,S
192,2021,MI,FT,Big Data Engineer,1672000,INR,,IN,0,IN,L
193,2021,SE,FT,Machine Learning Engineer,1799997,INR,,IN,100,IN,L
194,2021,SE,FT,Data Science Manager,4000000,INR,,IN,50,US,L
195,2021,EN,FT,Big Data Engineer,435000,INR,,IN,0,CH,L
196,2021,MI,FT,Data Scientist,2500000,INR,,IN,0,IN,M
197,2021,EN,FT,Big Data Engineer,1200000,INR,,IN,100,IN,L
198,2021,EN,FT,Data Engineer,1600000,INR,,IN,50,IN,M
199,2021,EN,FT,AI Scientist,1335000,INR,,IN,100,AS,S
200,2021,EN,FT,Data Scientist,2100000,INR,,IN,100,IN,M
201,2021,MI,FT,Data Scientist,1250000,INR,,IN,100,IN,S
202,2021,SE,FT,Machine Learning Engineer,4900000,INR,,IN,0,IN,L
203,2021,SE,FT,Data Science Manager,7000000,INR,,IN,50,IN,L
204,2022,EX,FT,Head of Machine Learning,6000000,INR,,IN,50,IN,L
205,2022,MI,FT,Business Data Analyst,1400000,INR,,IN,100,IN,M
206,2022,MI,FT,Data Scientist,2400000,INR,,IN,100,IN,L
207,2022,EN,FT,Data Scientist,1400000,INR,,IN,100,IN,M
208,2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
209,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
210,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
211,2020,EN,PT,Data Scientist,19000,EUR,,IT,50,IT,S
212,2021,EX,FT,Director of Data Science,130000,EUR,,IT,100,PL,L
213,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
214,2021,MI,FT,Machine Learning Engineer,43200,EUR,,IT,50,IT,L
215,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
216,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
217,2020,EN,FT,Data Engineer,4450000,JPY,,JP,100,JP,S
218,2021,MI,FT,ML Engineer,7000000,JPY,,JP,50,JP,S
219,2021,MI,FT,ML Engineer,8500000,JPY,,JP,50,JP,S
220,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
221,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
222,2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
223,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
224,2021,EN,FT,Business Data Analyst,50000,EUR,,LU,100,LU,L
225,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
226,2021,MI,FT,Data Engineer,24000,EUR,,MT,50,MT,L
227,2020,SE,FT,Data Engineer,720000,MXN,,MX,0,MX,S
228,2021,MI,FT,Data Scientist,58000,MXN,,MX,0,MX,S
229,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
230,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
231,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
232,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
233,2021,MI,FT,Data Engineer,38400,EUR,,NL,100,NL,L
234,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
235,2021,MI,PT,Data Engineer,59000,EUR,,NL,100,NL,L
236,2022,SE,FT,Machine Learning Engineer,57000,EUR,,NL,100,NL,L
237,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S
238,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
239,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
240,2020,EN,FT,Data Engineer,48000,EUR,,PK,100,DE,L
241,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
242,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
243,2022,EN,FT,Data Engineer,52800,EUR,,PK,100,DE,M
244,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
245,2020,SE,FT,Big Data Engineer,100000,EUR,,PL,100,GB,S
246,2021,MI,FT,Data Engineer,110000,PLN,,PL,100,PL,L
247,2021,MI,FT,Machine Learning Engineer,180000,PLN,,PL,100,PL,L
248,2022,MI,FT,Data Scientist,150000,PLN,,PL,100,PL,L
249,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
250,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
251,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,,PT,0,PT,M
252,2021,SE,FT,Research Scientist,51400,EUR,,PT,50,PT,L
253,2022,EN,FT,ML Engineer,20000,EUR,,PT,100,PT,L
254,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,,PT,50,PT,L
255,2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
256,2021,MI,FT,Data Engineer,22000,EUR,,RO,0,US,L
257,2021,SE,FT,Data Engineer,65000,EUR,,RO,50,GB,S
258,2021,MI,FT,Data Scientist,21600,EUR,,RS,100,DE,S
259,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
260,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
261,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
262,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
263,2021,MI,FT,Cloud Data Engineer,120000,SGD,,SG,50,SG,L
264,2021,MI,FT,Data Scientist,160000,SGD,,SG,100,IL,M
265,2021,MI,FT,Machine Learning Engineer,21000,EUR,,SI,50,SI,L
266,2021,SE,FT,Head of Data,87000,EUR,,SI,100,SI,L
267,2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,,TN,100,CZ,M
268,2021,MI,FT,Data Engineer,108000,TRY,,TR,0,TR,M
269,2021,MI,FT,Data Engineer,250000,TRY,,TR,100,TR,M
270,2021,SE,FT,Data Scientist,180000,TRY,,TR,50,TR,L
271,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
272,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
273,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L
274,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
275,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
276,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
277,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L
278,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
279,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
280,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
281,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
282,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
283,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
284,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
285,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
286,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
287,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L
288,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
289,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L
290,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
291,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L
292,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
293,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
294,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
295,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
296,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
297,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
298,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
299,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
300,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
301,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
302,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
303,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
304,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
305,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
306,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
307,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
308,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
309,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
310,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
311,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
312,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
313,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
314,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
315,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
316,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
317,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
318,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
319,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
320,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
321,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
322,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
323,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
324,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
325,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
326,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
327,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
328,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
329,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
330,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
331,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
332,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
333,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
334,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
335,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
336,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
337,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
338,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
339,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
340,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
341,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
342,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
343,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
344,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
345,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
346,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
347,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
348,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
349,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
350,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
351,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
352,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
353,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
354,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
355,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
356,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
357,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
358,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
359,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
360,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
361,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
362,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
363,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
364,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
365,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
366,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
367,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
368,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
369,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
370,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
371,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
372,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
373,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
